Leaked composite object at 0x1d83ef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x1d84ee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x1d84f60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x1d84fa0 (tests/leak_test.c:19, sz=12, NORMAL)

Leaked composite object at 0x1d83f20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x1d83f50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x1d83f80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x1d83fb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x1d83fe0 (tests/leak_test.c:12, sz=4, NORMAL)

